"programme","gender","ht"
"Prep","F",57.8615388214387
"Prep","F",65.5507649578695
"Core","F",52.1427625309033
"Pre-prep","F",69.4538539802065
"Pre-prep","F",54.2032579307262
"Core","F",67.857086174796
"Pre-prep","F",68.1299789378337
"Pre-prep","F",66.6487175700382
"Prep","F",60.6249975518666
"Core","F",59.5215409170135
"Core","F",61.8526039498303
"Core","F",54.3100317698865
"Core","F",61.6233612874267
"Core","F",60.1120393621814
"Prep","F",61.8677915716482
"Pre-prep","F",61.067058879338
"Core","F",47.9316608988374
"Core","F",68.8946052650698
"Pre-prep","F",57.2112636001646
"Prep","F",55.6758894187728
"Prep","F",61.78993177611
"Core","F",63.9959525952325
"Prep","F",52.1740062909076
"Prep","F",56.7551272817485
"Pre-prep","F",54.8446823760473
"Pre-prep","F",56.9634289826824
"Core","F",60.8741185054671
"Core","F",61.7979645168093
"Core","F",61.9671666421884
"Core","F",50.5062311017485
"Core","F",53.6746663647159
"Core","F",62.1460195182576
"Core","F",58.1290618628271
"Prep","F",68.1828482202335
"Core","F",64.9386507563159
"Prep","F",61.5558641574236
"Core","F",52.625228540037
"Core","F",50.8402755596512
"Prep","F",68.3064351245749
"Core","F",59.8844614971212
"Core","F",65.7166891748808
"Core","F",65.7105792136908
"Pre-prep","F",56.8586272848332
"Pre-prep","F",58.1106897861916
"Core","F",62.3888374397833
"Prep","F",64.3495723600963
"Prep","F",57.2891234673548
"Core","F",62.7354147685908
"Pre-prep","F",60.5088406386956
"Pre-prep","F",53.8368737482726
"Prep","F",58.5764669361093
"Pre-prep","F",60.9009866961889
"Core","F",61.0919338620844
"Core","F",62.1087918456159
"Core","F",71.7156537823512
"Prep","F",62.219402339647
"Core","F",51.3138640921511
"Pre-prep","F",56.9169429080489
"Pre-prep","F",62.672299824166
"Core","F",59.9461841271365
"Prep","F",58.6799653843191
"Pre-prep","F",59.5917699187538
"Pre-prep","F",74.4711904709187
"Core","F",58.1358518607031
"Prep","F",55.651173452793
"Prep","F",52.9603136373172
"Core","F",57.1632150660855
"Core","F",58.1619431277743
"Prep","F",61.0059655212597
"Pre-prep","F",55.5889183275222
"Pre-prep","F",63.5345382878694
"Core","F",63.1139345938634
"Prep","F",53.7050085852092
"Core","F",59.241619036678
"Pre-prep","F",59.5293984528693
"Core","F",58.699282873118
"Prep","F",59.2258059723017
"Prep","F",59.9522857171713
"Prep","F",54.7039004066001
"Pre-prep","F",62.9658862717194
"Core","F",58.622432953963
"Core","F",65.430185688441
"Core","F",61.0730259655075
"Prep","F",56.8918187748341
